participant.code,participant.label,explanation_empty,selected_rounds,participant_guesses_sample,llm_predictions_sample,round_matches_sample,matches_count,bonus_probability,bonus_draw_u,won_bonus_rule,score,won_bonus,status
aih6vigb,1,0,"[2, 4, 5, 6, 12, 13, 15, 18, 22, 23]","[4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]","[6.0, 7.0, 6.0, 5.0, 4.0, 6.0, 2.0, 6.0, 2.0, 4.0]","[0, 0, 0, 1, 1, 0, 0, 0, 0, 1]",3,0.3,0.440596,won_if_bonus_draw_u_lt_bonus_probability,30.0,0,ok
lkm0acgc,1,0,"[2, 4, 5, 6, 12, 13, 15, 18, 22, 23]","[4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]","[6.0, 4.0, 6.0, 4.0, 4.0, 3.0, 5.0, 6.0, 6.0, 6.0]","[0, 1, 0, 1, 1, 1, 1, 0, 0, 0]",5,0.5,0.96366,won_if_bonus_draw_u_lt_bonus_probability,50.0,0,ok
pw4trmjs,1,0,"[2, 4, 5, 6, 12, 13, 15, 18, 22, 23]","[4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]","[7.0, 7.0, 4.0, 6.0, 5.0, 1.0, 7.0, 2.0, 7.0, 2.0]","[0, 0, 1, 0, 1, 0, 0, 0, 0, 0]",2,0.2,0.17252,won_if_bonus_draw_u_lt_bonus_probability,20.0,1,ok
uxedcf11,1,0,"[2, 4, 5, 6, 12, 13, 15, 18, 22, 23]","[4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]","[7.0, 4.0, 4.0, 1.0, 5.0, 1.0, 3.0, 2.0, 5.0, 4.0]","[0, 1, 1, 0, 1, 0, 1, 0, 1, 1]",6,0.6,0.470862,won_if_bonus_draw_u_lt_bonus_probability,60.0,1,ok
j71ms0hl,1,0,"[2, 4, 5, 6, 12, 13, 15, 18, 22, 23]","[4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]","[4.0, 6.0, 2.0, 2.0, 5.0, 6.0, 6.0, 6.0, 2.0, 1.0]","[1, 0, 0, 0, 1, 0, 0, 0, 0, 0]",2,0.2,0.959324,won_if_bonus_draw_u_lt_bonus_probability,20.0,0,ok
w5pudjp7,1,0,"[2, 4, 5, 6, 12, 13, 15, 18, 22, 23]","[4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]","[5.0, 5.0, 3.0, 7.0, 2.0, 7.0, 2.0, 6.0, 6.0, 1.0]","[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",3,0.3,0.92436,won_if_bonus_draw_u_lt_bonus_probability,30.0,0,ok
epfy7e30,1,0,"[2, 4, 5, 6, 12, 13, 15, 18, 22, 23]","[4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]","[7.0, 4.0, 4.0, 3.0, 2.0, 7.0, 4.0, 7.0, 6.0, 6.0]","[0, 1, 1, 1, 0, 0, 1, 0, 0, 0]",4,0.4,0.970233,won_if_bonus_draw_u_lt_bonus_probability,40.0,0,ok
lcpoawza,1,0,"[2, 4, 5, 6, 12, 13, 15, 18, 22, 23]","[4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]","[6.0, 4.0, 6.0, 6.0, 6.0, 3.0, 6.0, 6.0, 6.0, 6.0]","[0, 1, 0, 0, 0, 1, 0, 0, 0, 0]",2,0.2,0.136233,won_if_bonus_draw_u_lt_bonus_probability,20.0,1,ok
i63yjlqn,1,0,"[2, 4, 5, 6, 12, 13, 15, 18, 22, 23]","[4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]","[3.0, 5.0, 2.0, 4.0, 6.0, 6.0, 5.0, 6.0, 2.0, 5.0]","[1, 1, 0, 1, 0, 0, 1, 0, 0, 1]",5,0.5,0.273769,won_if_bonus_draw_u_lt_bonus_probability,50.0,1,ok
zzx9j8v4,1,0,"[2, 4, 5, 6, 12, 13, 15, 18, 22, 23]","[4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]","[6.0, 6.0, 4.0, 5.0, 4.0, 5.0, 4.0, 3.0, 2.0, 1.0]","[0, 0, 1, 1, 1, 1, 1, 1, 0, 0]",6,0.6,0.757828,won_if_bonus_draw_u_lt_bonus_probability,60.0,0,ok
qxe0gwby,1,0,"[2, 4, 5, 6, 12, 13, 15, 18, 22, 23]","[4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]","[7.0, 6.0, 5.0, 1.0, 4.0, 2.0, 6.0, 5.0, 0.0, 7.0]","[0, 0, 1, 0, 1, 0, 0, 1, 0, 0]",3,0.3,0.008186,won_if_bonus_draw_u_lt_bonus_probability,30.0,1,ok
nic87rql,1,0,"[2, 4, 5, 6, 12, 13, 15, 18, 22, 23]","[4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]","[2.0, 7.0, 5.0, 6.0, 6.0, 5.0, 5.0, 5.0, 6.0, 5.0]","[0, 0, 1, 0, 0, 1, 1, 1, 0, 1]",5,0.5,0.334779,won_if_bonus_draw_u_lt_bonus_probability,50.0,1,ok
bj6mp1m3,1,0,"[2, 4, 5, 6, 12, 13, 15, 18, 22, 23]","[4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]","[5.0, 3.0, 4.0, 5.0, 6.0, 1.0, 7.0, 3.0, 6.0, 4.0]","[1, 1, 1, 1, 0, 0, 0, 1, 0, 1]",6,0.6,0.245905,won_if_bonus_draw_u_lt_bonus_probability,60.0,1,ok
qtikmj84,1,0,"[2, 4, 5, 6, 12, 13, 15, 18, 22, 23]","[4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]","[3.0, 6.0, 5.0, 7.0, 5.0, 7.0, 2.0, 4.0, 7.0, 5.0]","[1, 0, 1, 0, 1, 0, 0, 1, 0, 1]",5,0.5,0.644165,won_if_bonus_draw_u_lt_bonus_probability,50.0,0,ok
